iter	Passed	Remaining
0	2	212
1	3	172
2	4	156
3	6	147
4	7	146
5	9	141
6	10	137
7	11	134
8	13	133
9	14	131
10	15	129
11	17	126
12	18	124
13	19	122
14	21	120
15	22	119
16	24	119
17	25	117
18	27	115
19	28	114
20	29	112
21	31	111
22	32	109
23	33	107
24	35	107
25	37	105
26	38	103
27	39	101
28	40	100
29	42	98
30	43	96
31	44	95
32	46	95
33	48	93
34	49	92
35	51	91
36	52	89
37	53	88
38	55	86
39	56	85
40	58	83
41	58	81
42	60	79
43	61	78
44	62	76
45	64	75
46	65	74
47	67	73
48	69	71
49	70	70
50	71	69
51	73	67
52	74	66
53	75	64
54	76	62
55	78	61
56	79	59
57	80	58
58	82	57
59	83	55
60	85	54
61	86	52
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	105	33
76	106	31
77	108	30
78	110	29
79	111	27
80	113	26
81	115	25
82	117	24
83	119	22
84	120	21
85	122	19
86	123	18
87	124	17
88	126	15
89	127	14
90	129	12
91	130	11
92	132	9
93	134	8
94	135	7
95	137	5
96	138	4
97	139	2
98	140	1
99	142	0
