iter	Passed	Remaining
0	114	114202
1	116	58136
2	118	39368
3	120	29920
4	121	24273
5	125	20811
6	127	18077
7	129	16008
8	130	14395
9	132	13113
10	135	12176
11	137	11334
12	139	10573
13	140	9901
14	141	9322
15	144	8868
16	145	8439
17	147	8058
18	149	7706
19	153	7514
20	155	7253
21	157	7009
22	159	6790
23	165	6725
24	167	6523
25	170	6370
26	173	6245
27	175	6086
28	177	5941
29	179	5793
30	188	5897
31	192	5818
32	194	5690
33	195	5563
34	197	5454
35	200	5356
36	201	5252
37	203	5152
38	205	5075
39	209	5021
40	211	4955
41	214	4883
42	219	4880
43	221	4810
44	224	4772
45	230	4787
46	234	4747
47	236	4681
48	238	4627
49	240	4562
50	242	4510
51	245	4469
52	247	4427
53	254	4450
54	256	4398
55	258	4350
56	260	4305
57	262	4259
58	264	4213
59	266	4169
60	268	4126
61	269	4084
62	274	4081
63	276	4039
64	278	3999
65	279	3959
66	281	3922
67	284	3895
68	286	3865
69	288	3834
70	290	3799
71	292	3764
72	296	3761
73	299	3744
74	301	3715
75	303	3684
76	305	3660
77	307	3635
78	309	3606
79	310	3575
80	312	3546
81	315	3531
82	318	3518
83	320	3497
84	323	3478
85	325	3457
86	327	3433
87	329	3410
88	330	3387
89	332	3364
90	334	3341
91	336	3317
92	337	3295
93	341	3293
94	343	3272
95	345	3251
96	347	3231
97	348	3210
98	350	3192
99	352	3176
100	354	3157
101	356	3140
102	358	3122
103	364	3138
104	365	3119
105	367	3102
106	369	3086
107	371	3072
108	373	3055
109	375	3038
110	377	3022
111	379	3005
112	380	2989
113	382	2974
114	384	2958
115	386	2944
116	387	2926
117	389	2910
118	391	2894
119	393	2885
120	395	2871
121	396	2854
122	398	2839
123	399	2825
124	401	2811
125	403	2799
126	404	2783
127	406	2771
128	408	2758
129	410	2746
130	412	2734
131	413	2721
132	415	2708
133	417	2696
134	419	2684
135	420	2673
136	422	2661
137	424	2649
138	425	2638
139	432	2658
140	434	2649
141	436	2636
142	440	2640
143	443	2633
144	444	2622
145	446	2611
146	448	2602
147	452	2605
148	454	2597
149	464	2634
150	470	2645
151	472	2636
152	477	2642
153	479	2632
154	481	2625
155	483	2616
156	485	2608
157	487	2598
158	489	2590
159	491	2581
160	492	2567
161	495	2563
162	499	2564
163	501	2554
164	504	2553
165	517	2597
166	563	2811
167	575	2850
168	579	2848
169	584	2853
170	587	2850
171	593	2857
172	599	2864
173	603	2865
174	606	2860
175	608	2850
176	613	2853
177	651	3006
178	653	2995
179	659	3002
180	666	3016
181	673	3026
182	676	3019
183	680	3019
184	682	3008
185	686	3003
186	688	2994
187	690	2983
188	693	2976
189	695	2965
190	770	3263
191	773	3254
192	775	3243
193	778	3232
194	780	3221
195	785	3221
196	790	3223
197	794	3217
198	801	3224
199	804	3217
200	810	3223
201	821	3245
202	859	3373
203	864	3374
204	867	3362
205	869	3349
206	883	3383
207	885	3373
208	889	3364
209	893	3359
210	895	3348
211	898	3340
212	900	3328
213	902	3316
214	906	3309
215	908	3297
216	927	3347
217	929	3335
218	931	3323
219	933	3311
220	937	3304
221	943	3305
222	945	3293
223	948	3287
224	950	3275
225	954	3269
226	957	3260
227	960	3251
228	965	3249
229	969	3245
230	971	3235
231	973	3223
232	975	3210
233	977	3198
234	979	3187
235	981	3176
236	984	3169
237	988	3164
238	990	3152
239	991	3140
240	993	3127
241	994	3114
242	995	3102
243	997	3090
244	999	3079
245	1000	3067
246	1002	3055
247	1003	3043
248	1004	3030
249	1006	3020
250	1010	3015
251	1012	3004
252	1014	2994
253	1016	2984
254	1017	2973
255	1019	2962
256	1020	2950
257	1021	2939
258	1023	2927
259	1024	2916
260	1026	2905
261	1027	2894
262	1028	2883
263	1030	2871
264	1034	2869
265	1036	2860
266	1037	2849
267	1039	2838
268	1041	2829
269	1043	2821
270	1046	2814
271	1048	2805
272	1049	2795
273	1053	2790
274	1055	2782
275	1057	2772
276	1058	2763
277	1060	2753
278	1061	2744
279	1063	2735
280	1065	2726
281	1067	2717
282	1069	2710
283	1071	2702
284	1073	2694
285	1078	2692
286	1080	2685
287	1084	2679
288	1086	2672
289	1088	2664
290	1090	2656
291	1091	2647
292	1093	2638
293	1095	2630
294	1096	2621
295	1102	2621
296	1104	2615
297	1106	2607
298	1109	2601
299	1111	2594
300	1114	2587
301	1116	2581
302	1119	2574
303	1124	2575
304	1128	2570
305	1130	2562
306	1135	2564
307	1137	2556
308	1139	2548
309	1141	2541
310	1145	2538
311	1147	2530
312	1149	2522
313	1152	2518
314	1154	2511
315	1158	2507
316	1160	2500
317	1162	2494
318	1164	2487
319	1172	2491
320	1175	2485
321	1177	2479
322	1180	2474
323	1182	2467
324	1185	2462
325	1189	2459
326	1192	2453
327	1195	2448
328	1199	2445
329	1202	2441
330	1204	2434
331	1206	2428
332	1210	2424
333	1213	2418
334	1216	2415
335	1219	2409
336	1221	2403
337	1223	2396
338	1225	2390
339	1228	2384
340	1233	2383
341	1237	2380
342	1242	2379
343	1244	2372
344	1246	2366
345	1250	2363
346	1253	2358
347	1257	2355
348	1258	2348
349	1260	2341
350	1262	2334
351	1264	2327
352	1266	2320
353	1267	2313
354	1269	2307
355	1271	2300
356	1273	2293
357	1275	2286
358	1279	2283
359	1280	2277
360	1282	2270
361	1284	2264
362	1286	2257
363	1289	2252
364	1291	2246
365	1293	2240
366	1295	2234
367	1298	2229
368	1302	2227
369	1304	2221
370	1306	2215
371	1309	2210
372	1312	2205
373	1314	2199
374	1316	2194
375	1318	2187
376	1320	2181
377	1321	2175
378	1326	2173
379	1331	2173
380	1335	2169
381	1336	2162
382	1338	2156
383	1340	2150
384	1342	2145
385	1345	2139
386	1350	2138
387	1354	2136
388	1359	2135
389	1380	2158
390	1382	2153
391	1385	2149
392	1391	2149
393	1398	2151
394	1401	2146
395	1403	2140
396	1405	2134
397	1407	2129
398	1410	2124
399	1412	2118
400	1414	2113
401	1420	2113
402	1425	2112
403	1430	2110
404	1433	2106
405	1435	2100
406	1438	2095
407	1443	2094
408	1445	2089
409	1449	2085
410	1452	2082
411	1459	2082
412	1466	2084
413	1469	2080
414	1471	2074
415	1473	2068
416	1476	2064
417	1480	2060
418	1482	2055
419	1483	2049
420	1485	2043
421	1489	2039
422	1490	2033
423	1492	2027
424	1494	2022
425	1496	2016
426	1498	2010
427	1499	2004
428	1502	1999
429	1503	1993
430	1505	1987
431	1507	1982
432	1511	1978
433	1513	1973
434	1514	1967
435	1516	1962
436	1518	1956
437	1521	1952
438	1523	1946
439	1525	1941
440	1527	1935
441	1529	1930
442	1533	1928
443	1536	1923
444	1537	1917
445	1539	1912
446	1541	1906
447	1544	1902
448	1546	1897
449	1548	1892
450	1551	1888
451	1557	1888
452	1559	1883
453	1561	1878
454	1565	1875
455	1567	1869
456	1569	1864
457	1571	1859
458	1575	1856
459	1576	1851
460	1581	1849
461	1583	1844
462	1585	1839
463	1587	1833
464	1591	1831
465	1593	1825
466	1596	1821
467	1598	1817
468	1603	1815
469	1605	1810
470	1609	1807
471	1612	1803
472	1613	1798
473	1615	1792
474	1618	1789
475	1620	1783
476	1622	1778
477	1624	1774
478	1626	1769
479	1628	1763
480	1629	1758
481	1630	1752
482	1632	1747
483	1633	1741
484	1635	1736
485	1637	1731
486	1638	1725
487	1639	1720
488	1641	1714
489	1642	1709
490	1644	1704
491	1646	1699
492	1648	1695
493	1649	1689
494	1651	1684
495	1652	1679
496	1653	1673
497	1655	1668
498	1656	1663
499	1657	1657
500	1659	1652
501	1660	1647
502	1663	1643
503	1664	1638
504	1666	1633
505	1667	1627
506	1670	1624
507	1672	1619
508	1673	1614
509	1674	1609
510	1676	1603
511	1677	1598
512	1678	1593
513	1681	1590
514	1683	1585
515	1684	1580
516	1686	1575
517	1688	1570
518	1690	1566
519	1693	1563
520	1695	1558
521	1697	1554
522	1698	1549
523	1700	1544
524	1702	1539
525	1703	1535
526	1705	1530
527	1708	1526
528	1709	1522
529	1711	1517
530	1713	1513
531	1716	1510
532	1718	1505
533	1719	1500
534	1721	1496
535	1723	1491
536	1724	1487
537	1726	1482
538	1728	1478
539	1730	1473
540	1731	1469
541	1733	1464
542	1735	1460
543	1743	1461
544	1745	1457
545	1747	1452
546	1749	1448
547	1751	1444
548	1755	1442
549	1757	1438
550	1765	1438
551	1769	1436
552	1772	1432
553	1776	1429
554	1778	1425
555	1779	1421
556	1791	1424
557	1793	1420
558	1795	1416
559	1798	1413
560	1802	1410
561	1804	1406
562	1809	1404
563	1814	1402
564	1816	1398
565	1822	1397
566	1825	1394
567	1827	1389
568	1829	1385
569	1830	1381
570	1836	1379
571	1838	1375
572	1840	1371
573	1847	1371
574	1850	1367
575	1856	1366
576	1858	1362
577	1859	1357
578	1861	1353
579	1868	1353
580	1870	1349
581	1874	1346
582	1876	1342
583	1878	1338
584	1884	1336
585	1886	1332
586	1893	1332
587	1895	1327
588	1896	1323
589	1898	1319
590	1902	1316
591	1904	1312
592	1906	1308
593	1908	1304
594	1910	1300
595	1915	1298
596	1917	1294
597	1919	1290
598	1921	1286
599	1922	1281
600	1924	1277
601	1926	1273
602	1928	1269
603	1929	1265
604	1931	1261
605	1934	1257
606	1937	1254
607	1938	1250
608	1941	1246
609	1944	1242
610	1946	1239
611	1948	1235
612	1950	1231
613	1952	1227
614	1953	1223
615	1957	1220
616	1959	1216
617	1960	1212
618	1962	1208
619	1964	1204
620	1966	1199
621	1967	1195
622	1969	1191
623	1971	1188
624	1973	1184
625	1974	1179
626	1976	1175
627	1980	1172
628	1981	1169
629	1983	1164
630	1985	1161
631	1986	1156
632	1989	1153
633	1991	1149
634	1992	1145
635	1994	1141
636	1995	1137
637	1996	1133
638	1998	1129
639	2000	1125
640	2002	1121
641	2003	1117
642	2004	1113
643	2006	1109
644	2008	1105
645	2009	1101
646	2011	1097
647	2013	1093
648	2014	1089
649	2017	1086
650	2018	1082
651	2020	1078
652	2021	1074
653	2024	1070
654	2027	1067
655	2028	1063
656	2029	1059
657	2031	1055
658	2032	1051
659	2035	1048
660	2037	1045
661	2039	1041
662	2041	1037
663	2042	1033
664	2044	1029
665	2047	1026
666	2048	1022
667	2050	1019
668	2052	1015
669	2054	1011
670	2055	1007
671	2057	1004
672	2058	1000
673	2061	997
674	2063	993
675	2064	989
676	2066	985
677	2068	982
678	2071	979
679	2073	975
680	2075	972
681	2076	968
682	2094	971
683	2096	968
684	2098	964
685	2099	961
686	2101	957
687	2103	953
688	2105	950
689	2108	947
690	2110	943
691	2111	940
692	2113	936
693	2117	933
694	2119	929
695	2120	926
696	2122	922
697	2125	919
698	2127	916
699	2129	912
700	2130	908
701	2132	905
702	2134	901
703	2136	898
704	2139	895
705	2141	891
706	2143	888
707	2145	884
708	2147	881
709	2149	877
710	2151	874
711	2155	871
712	2156	868
713	2158	864
714	2164	862
715	2166	859
716	2168	855
717	2170	852
718	2173	849
719	2175	845
720	2176	842
721	2178	838
722	2181	835
723	2186	833
724	2188	830
725	2189	826
726	2191	823
727	2193	819
728	2195	816
729	2196	812
730	2198	809
731	2200	805
732	2202	802
733	2204	798
734	2206	795
735	2209	792
736	2211	789
737	2212	785
738	2214	782
739	2216	778
740	2217	775
741	2219	771
742	2221	768
743	2223	765
744	2225	761
745	2228	758
746	2230	755
747	2232	752
748	2235	748
749	2237	745
750	2239	742
751	2241	739
752	2242	735
753	2244	732
754	2246	728
755	2248	725
756	2251	722
757	2253	719
758	2255	716
759	2258	713
760	2261	710
761	2263	706
762	2266	703
763	2268	700
764	2270	697
765	2274	694
766	2275	691
767	2277	688
768	2279	684
769	2280	681
770	2282	677
771	2285	675
772	2287	671
773	2290	668
774	2291	665
775	2300	664
776	2303	661
777	2308	658
778	2310	655
779	2313	652
780	2315	649
781	2317	645
782	2321	643
783	2322	639
784	2324	636
785	2326	633
786	2327	629
787	2329	626
788	2331	623
789	2333	620
790	2335	617
791	2337	613
792	2338	610
793	2340	607
794	2345	604
795	2347	601
796	2349	598
797	2350	595
798	2352	591
799	2354	588
800	2356	585
801	2358	582
802	2359	578
803	2361	575
804	2363	572
805	2367	569
806	2369	566
807	2372	563
808	2376	561
809	2379	558
810	2381	554
811	2383	551
812	2386	549
813	2392	546
814	2394	543
815	2395	540
816	2397	537
817	2399	533
818	2401	530
819	2403	527
820	2404	524
821	2406	521
822	2408	518
823	2412	515
824	2414	512
825	2416	509
826	2418	505
827	2420	502
828	2422	499
829	2423	496
830	2425	493
831	2427	490
832	2429	487
833	2431	483
834	2435	481
835	2436	478
836	2438	474
837	2441	472
838	2443	468
839	2445	465
840	2447	462
841	2449	459
842	2451	456
843	2454	453
844	2457	450
845	2460	447
846	2462	444
847	2464	441
848	2466	438
849	2468	435
850	2470	432
851	2472	429
852	2474	426
853	2476	423
854	2477	420
855	2483	417
856	2485	414
857	2487	411
858	2489	408
859	2491	405
860	2492	402
861	2494	399
862	2496	396
863	2498	393
864	2500	390
865	2504	387
866	2505	384
867	2509	381
868	2511	378
869	2513	375
870	2515	372
871	2517	369
872	2519	366
873	2521	363
874	2522	360
875	2528	357
876	2529	354
877	2531	351
878	2533	348
879	2535	345
880	2536	342
881	2538	339
882	2540	336
883	2541	333
884	2544	330
885	2546	327
886	2550	324
887	2552	321
888	2554	319
889	2557	316
